Tract,Data2017.xlsx,Is an Opportunity Zone,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,"Net Occupancy Base, %","Net Occupancy Tract, %",Residential Real Estate Value Score,"Residential Real Estate Value Base, %","Residential Real Estate Value Tract, %",Acres of Park Land Score,"Acres of Park Land Base, %","Acres of Park Land Tract, %",Affordable Housing Score,"Affordable Housing Base, %","Affordable Housing Tract, %",Internet Access Score,"Internet Access Base, %","Internet Access Tract, %",Travel Time to Work Score,"Travel Time to Work Base, %","Travel Time to Work Tract, %",Economy,Economy Growth,Economy Inclusion,New Businesses Score,"New Businesses Base, %","New Businesses Tract, %",Spend Growth Score,"Spend Growth Base, %","Spend Growth Tract, %",Small Business Loans Score,"Small Business Loans Base, %","Small Business Loans Tract, %",Minority/Women Owned Businesses Score,"Minority/Women Owned Businesses Base, %","Minority/Women Owned Businesses Tract, %",Labor Market Engagement Index Score,Labor Market Engagement Index Base,Labor Market Engagement Index Tract,Commercial Diversity Score,"Commercial Diversity Base, %","Commercial Diversity Tract, %",Community,Community Growth,Community Inclusion,Personal Income Score,"Personal Income Base, %","Personal Income Tract, %",Spending per Capita Score,"Spending per Capita Base, %","Spending per Capita Tract, %",Female Above Poverty Score,"Female Above Poverty Base, %","Female Above Poverty Tract, %",Gini Coefficient Score,Gini Coefficient Base,Gini Coefficient Tract,Early Education Enrollment Score,"Early Education Enrollment Base, %","Early Education Enrollment Tract, %",Health Insurance Coverage Score,"Health Insurance Coverage Base, %","Health Insurance Coverage Tract, %",Cluster,Negative_SHAP_Features,Negative_SHAP_Values,Average Negative Shap,Number of Negative SHAP Values
528544,Data2024.xlsx,Yes,davidson county,tennessee,2024,52,48,56,48,42.0,53.0,63,-0.5,2.6,22,48.8,9.1,64,4.1,6.5,2,72.2,49.6,78,91.7,96,69,56.7,64.2,62,63.0,62.0,56,-5.8,-8.8,51,,,83,-8.5,13.1,26,3.6,2.2,61,60,69,99,1.3,6.8,45,38.0,52.0,28,16.7,9.7,49,,,41,88.8,86.1,83,41.5,35.9,,27.8,,32,95,92.5,3,"['Small Business Loans Score', 'Commercial Diversity Score', 'Female Above Poverty Score', 'Residential Real Estate Value Score']","[-1.2186551589146257, -3.4585956418327988, -4.490882503641769, -3.333026211168617]",-3.1252898788894528,4
580637,Data2024.xlsx,nan,davidson county,tennessee,2024,43,58,28,44,56.0,32.0,45,-0.5,1.1,68,48.8,159.8,7,4.1,0.4,32,72.2,67.1,9,91.7,77.7,82,56.7,70.8,41,51.0,31.0,25,-5.8,-9.1,67,,,61,-8.5,20,67,3.6,5,12,60,16,13,1.3,0.4,45,68.0,22.0,51,16.7,23,84,,,13,88.8,71.1,13,41.5,50,41,27.8,24.2,19,95,89.6,0,"['Spend Growth Score', 'Small Business Loans Score', 'Minority/Women Owned Businesses Score', 'Labor Market Engagement Index Score', 'Internet Access Score', 'Female Above Poverty Score', 'Residential Real Estate Value Score']","[-0.6896438854467124, -0.2213209963031113, -0.06741339413449168, -4.420839307308197, -8.160555070005357, -7.809465585490688, -0.2554284032993019]",-3.0892380917125513,7
586067,Data2024.xlsx,nan,davidson county,tennessee,2024,48,53,44,47,50.0,44.0,34,-0.5,-6.1,65,48.8,128,46,4.1,3.6,8,72.2,56.1,45,91.7,90.8,75,56.7,67.3,63,67.0,59.0,69,-5.8,-4.6,41,,,90,-8.5,23.9,77,3.6,6.4,9,60,12,91,1.3,3.5,36,42.0,30.0,20,16.7,8.4,65,,,18,88.8,75.7,84,41.5,35.7,10,27.8,10.5,9,95,85.7,0,"['New Businesses Score', 'Small Business Loans Score', 'Minority/Women Owned Businesses Score', 'Labor Market Engagement Index Score', 'Commercial Diversity Score', 'Female Above Poverty Score']","[-1.0233744933828712, -1.1199764353595674, -1.0787182402703912, -5.260105977654457, -2.162592503130436, -7.864904680466279]",-3.0849453883773337,6
543625,Data2024.xlsx,nan,davidson county,tennessee,2024,46,47,46,46,32.0,59.0,34,-0.5,-51.5,30,48.8,-18.5,53,4.1,4.5,48,72.2,71.7,56,91.7,92.7,80,56.7,69.8,48,47.0,50.0,25,-5.8,-15,89,,,27,-8.5,-43.3,6,3.6,1.1,91,60,93,52,1.3,1.3,45,62.0,28.0,82,16.7,33,43,,,39,88.8,85.6,20,41.5,47.5,,27.8,,26,95,91.4,3,"['Spend Growth Score', 'Female Above Poverty Score']","[-0.9135609613452107, -5.254463300872594]",-3.0840121311089024,2
543526,Data2024.xlsx,nan,davidson county,tennessee,2024,52,62,43,58,74.0,42.0,74,-0.5,40.5,,48.8,,32,4.1,2.2,16,72.2,60.8,33,91.7,88,88,56.7,74.5,61,69.0,53.0,57,-5.8,-4.5,73,,,76,-8.5,107.1,49,3.6,3.6,67,60,75,44,1.3,1.1,38,43.0,34.0,58,16.7,31.5,28,,,24,88.8,79.4,69,41.5,38.5,,27.8,,8,95,84.7,0,"['Spend Growth Score', 'Small Business Loans Score', 'Internet Access Score', 'Female Above Poverty Score']","[-0.8812253317190334, -1.0768783380556852, -1.801649165507406, -8.417141290521249]",-3.0442235314508435,4
527397,Data2024.xlsx,Yes,davidson county,tennessee,2024,50,46,55,44,41.0,48.0,16,-0.5,-11.6,66,48.8,158.5,79,4.1,10.8,29,72.2,66.2,13,91.7,80.4,69,56.7,64.3,59,44.0,74.0,34,-5.8,-10.5,35,,,64,-8.5,10.5,68,3.6,5.2,89,60,92,66,1.3,1.8,48,54.0,42.0,71,16.7,64.8,37,,,48,88.8,88.1,51,41.5,41.3,,27.8,,28,95,91.8,3,"['Small Business Loans Score', 'Commercial Diversity Score', 'Internet Access Score', 'Female Above Poverty Score']","[-0.2721708335075527, -0.4795589544996619, -8.236336769275367, -3.183577794386074]",-3.0429110879171635,4
558328,Data2024.xlsx,nan,davidson county,tennessee,2024,47,48,46,51,62.0,40.0,54,-0.5,0.7,70,48.8,148.4,48,4.1,3.9,39,72.2,69.1,16,91.7,82.5,55,56.7,58.6,53,45.0,61.0,50,-5.8,-9.2,47,,,38,-8.5,-20,36,3.6,2.8,54,60,63,92,1.3,3.7,36,36.0,36.0,52,16.7,23.6,19,,,35,88.8,84.3,73,41.5,37.7,,27.8,,1,95,75.5,0,"['Commercial Diversity Score', 'Internet Access Score', 'Female Above Poverty Score', 'Residential Real Estate Value Score']","[-1.0954553863406182, -5.439772942997515, -5.415629647728056, -0.03222641505300999]",-2.9957710980298,4
532290,Data2024.xlsx,Yes,davidson county,tennessee,2024,38,49,28,44,58.0,30.0,50,-0.5,4.9,65,48.8,155.1,17,4.1,1.1,6,72.2,54.7,11,91.7,79.5,85,56.7,72.9,36,29.0,43.0,45,-5.8,-3.8,22,,,21,-8.5,-20,9,3.6,1.3,53,60,63,66,1.3,1.8,34,59.0,10.0,67,16.7,60.6,51,,,3,88.8,53.8,27,41.5,45.8,,27.8,,1,95,74.7,0,"['Commercial Diversity Score', 'Internet Access Score', 'Female Above Poverty Score', 'Residential Real Estate Value Score']","[-0.6428341373428702, -8.147114206962287, -2.879788579586893, -0.2336149412021041]",-2.975837966273539,4
547710,Data2024.xlsx,nan,davidson county,tennessee,2024,48,57,39,54,68.0,40.0,79,-0.5,5.8,57,48.8,72,1,4.1,0,34,72.2,67.6,70,91.7,94.9,55,56.7,58.7,55,64.0,46.0,42,-5.8,-8.8,77,,,74,-8.5,19.8,24,3.6,2.2,63,60,71,52,1.3,1.3,34,38.0,31.0,29,16.7,9.4,46,,,29,88.8,81.8,72,41.5,38,3,27.8,5.9,20,95,89.9,0,"['Spend Growth Score', 'Small Business Loans Score', 'Female Above Poverty Score']","[-1.0181483961455524, -1.0928973462432623, -6.695357505632565]",-2.9354677493404595,3
529356,Data2024.xlsx,Yes,davidson county,tennessee,2024,40,50,30,50,70.0,29.0,70,-0.5,9.9,,48.8,,46,4.1,3.6,20,72.2,62.6,25,91.7,85.9,25,56.7,46.4,47,52.0,42.0,38,-5.8,-10.9,87,,,31,-8.5,-14,8,3.6,1.2,47,60,56,71,1.3,2,24,28.0,20.0,15,16.7,2.4,42,,,13,88.8,71.5,45,41.5,42.2,4,27.8,7.3,20,95,89.8,0,"['Spend Growth Score', 'Labor Market Engagement Index Score', 'Commercial Diversity Score', 'Internet Access Score', 'Female Above Poverty Score']","[-0.7539724909607322, -1.1065196103602648, -0.8634322590567172, -3.5267966160550714, -8.396070268992334]",-2.9293582490850243,5
580617,Data2024.xlsx,nan,davidson county,tennessee,2024,40,47,33,44,49.0,38.0,46,-0.5,-3.3,52,48.8,68.7,22,4.1,1.5,32,72.2,67.2,47,91.7,91,51,56.7,57.1,56,64.0,47.0,61,-5.8,-5.5,77,,,53,-8.5,-2.2,30,3.6,2.5,60,60,69,52,1.3,1.3,20,27.0,13.0,24,16.7,11,30,,,14,88.8,71.9,16,41.5,48.6,,27.8,,8,95,84.6,0,"['New Businesses Score', 'Spend Growth Score', 'Female Above Poverty Score']","[-0.240367640722543, -0.7138269006367772, -7.803185547161847]",-2.919126696173722,3
543501,Data2024.xlsx,nan,davidson county,tennessee,2024,44,43,46,51,62.0,40.0,47,-0.5,-8.4,76,48.8,111.5,44,4.1,3.4,39,72.2,69.3,44,91.7,90.5,31,56.7,49.1,46,49.0,44.0,30,-5.8,-9.5,69,,,47,-8.5,-9,,,,63,60,71,24,1.3,0.7,36,17.0,54.0,28,16.7,10.2,6,,,13,88.8,71.6,81,41.5,36.4,87,27.8,52.8,37,95,93.3,0,"['Spend Growth Score', 'Internet Access Score', 'Female Above Poverty Score']","[-0.7508269736869261, -0.04285421572625637, -7.892508709970862]",-2.895396633128015,3
567759,Data2024.xlsx,nan,davidson county,tennessee,2024,38,41,34,54,52.0,56.0,39,-0.5,-11.5,66,48.8,113.6,40,4.1,3,85,72.2,81.9,29,91.7,87.1,70,56.7,64.7,35,48.0,22.0,68,-5.8,-1,56,,,21,-8.5,-38.7,4,3.6,1,39,60,48,24,1.3,0.7,24,24.0,25.0,11,16.7,-5.1,37,,,6,88.8,61.2,25,41.5,46.3,25,27.8,17.4,43,95,94.2,0,"['New Businesses Score', 'Labor Market Engagement Index Score', 'Internet Access Score', 'Female Above Poverty Score', 'Residential Real Estate Value Score']","[-0.7023623401112854, -2.962853139825165, -3.094928700849414, -7.157862806823105, -0.5447859984263778]",-2.8925585972070693,5
576776,Data2024.xlsx,nan,davidson county,tennessee,2024,50,70,30,55,74.0,36.0,78,-0.5,62.8,69,48.8,542.2,28,4.1,1.9,34,72.2,67.6,14,91.7,81.1,67,56.7,63.5,52,65.0,38.0,59,-5.8,11.1,68,,,67,-8.5,108.7,,,,43,60,52,34,1.3,0.9,43,70.0,16.0,58,16.7,29.1,82,,,12,88.8,70.5,40,41.5,43.1,0,27.8,2.3,12,95,87.2,0,"['New Businesses Score', 'Spend Growth Score', 'Small Business Loans Score', 'Labor Market Engagement Index Score', 'Internet Access Score', 'Female Above Poverty Score', 'Residential Real Estate Value Score']","[-0.017114840149879455, -0.8763604989368469, -0.6474782563745975, -3.2463103659451007, -7.1405253538116815, -7.9438819835241885, -0.2744132739678025]",-2.8780120818157284,7
558513,Data2024.xlsx,nan,davidson county,tennessee,2024,60,61,60,75,78.0,72.0,78,-0.5,10.2,77,48.8,71,72,4.1,8.3,49,72.2,71.9,65,91.7,94.1,100,56.7,92.6,48,38.0,59.0,36,-5.8,-11.4,21,,,58,-8.5,-8.5,47,3.6,3.4,96,60,97,34,1.3,0.9,58,66.0,50.0,51,16.7,9.7,81,,,38,88.8,85.4,7,41.5,52.7,71,27.8,38.6,86,95,98.5,1,"['Small Business Loans Score', 'Female Above Poverty Score']","[-0.08384493295103311, -5.579314461536706]",-2.8315796972438694,2
554874,Data2024.xlsx,nan,davidson county,tennessee,2024,53,57,49,60,67.0,52.0,67,-0.5,54.5,,48.8,,62,4.1,5.9,16,72.2,60.7,32,91.7,87.8,97,56.7,83.7,64,57.0,72.0,60,-5.8,-7.5,66,,,45,-8.5,-27.4,30,3.6,2.4,92,60,95,93,1.3,4,36,48.0,24.0,70,16.7,60.7,26,,,20,88.8,76.7,29,41.5,45.2,,27.8,,22,95,90.3,0,"['New Businesses Score', 'Spend Growth Score', 'Commercial Diversity Score', 'Internet Access Score', 'Female Above Poverty Score']","[-0.11402270488440991, -0.4080606324924156, -1.059710339885205, -3.1473418563976883, -9.320242170821876]",-2.8098755408963187,5
586058,Data2024.xlsx,nan,davidson county,tennessee,2024,38,46,31,36,38.0,34.0,34,-0.5,-10.9,41,48.8,51.9,3,4.1,0,2,72.2,49.1,66,91.7,94.2,66,56.7,62.9,43,61.0,25.0,50,-5.8,-5.8,72,,,62,-8.5,4.9,8,3.6,1.2,63,60,71,4,1.3,0.2,36,39.0,34.0,10,16.7,-3.6,68,,,13,88.8,71.5,71,41.5,38.2,,27.8,,17,95,88.9,3,"['Spend Growth Score', 'Small Business Loans Score', 'Female Above Poverty Score']","[-0.916762216091156, -0.2595869331620634, -7.208768487488851]",-2.7950392122473566,3
561943,Data2024.xlsx,nan,davidson county,tennessee,2024,50,45,54,57,41.0,73.0,33,-0.5,-2.4,49,48.8,52,82,4.1,12.3,72,72.2,77.8,64,91.7,94,75,56.7,67.2,41,24.0,58.0,18,-5.8,-13.3,,,,31,-8.5,-17.2,53,3.6,3.8,55,60,65,66,1.3,1.8,50,69.0,31.0,69,16.7,30.1,,,,38,88.8,85.3,42,41.5,42.9,,27.8,,14,95,88,3,"['Commercial Diversity Score', 'Female Above Poverty Score']","[-0.6746671087108552, -4.901433734949678]",-2.7880504218302664,2
534167,Data2024.xlsx,Yes,davidson county,tennessee,2024,44,55,34,57,58.0,56.0,54,-0.5,2.4,61,48.8,106.2,73,4.1,8.5,47,72.2,71.4,10,91.7,78.4,92,56.7,77.7,48,64.0,31.0,56,-5.8,-1.2,71,,,65,-8.5,24.5,50,3.6,3.7,18,60,23,24,1.3,0.7,28,42.0,15.0,5,16.7,-3.1,80,,,1,88.8,36.9,23,41.5,46.7,18,27.8,14.5,19,95,89.4,0,"['New Businesses Score', 'Spend Growth Score', 'Small Business Loans Score', 'Labor Market Engagement Index Score', 'Internet Access Score']","[-0.014856963427737355, -0.6605698212655261, -0.4970683333091438, -4.640886696018279, -7.9732262931391595]",-2.757321621431969,5
545925,Data2024.xlsx,nan,davidson county,tennessee,2024,48,53,42,59,74.0,44.0,78,-0.5,10.5,71,48.8,181.3,46,4.1,3.7,38,72.2,68.8,42,91.7,90.2,51,56.7,57.1,45,45.0,45.0,28,-5.8,-9.1,59,,,47,-8.5,-5.6,85,3.6,8,15,60,20,34,1.3,0.9,38,39.0,36.0,18,16.7,6,60,,,9,88.8,67,73,41.5,37.8,48,27.8,26.8,12,95,87.2,0,"['Spend Growth Score', 'Minority/Women Owned Businesses Score', 'Labor Market Engagement Index Score', 'Internet Access Score', 'Female Above Poverty Score', 'Residential Real Estate Value Score']","[-0.4104474399937317, -2.87751163860783, -4.464148778393865, -0.03701909825205803, -8.35680015815422, -0.3220405934937298]",-2.744661284482572,6
574753,Data2024.xlsx,nan,davidson county,tennessee,2024,48,49,48,47,42.0,52.0,47,-0.5,1.9,38,48.8,39.6,69,4.1,7.6,44,72.2,70.4,11,91.7,79.5,84,56.7,71.7,56,61.0,51.0,65,-5.8,-5.1,84,,,33,-8.5,-23.8,56,3.6,4,37,60,46,60,1.3,1.5,44,45.0,42.0,49,16.7,17.1,41,,,78,88.8,94.6,31,41.5,45,19,27.8,14.8,41,95,93.9,3,"['New Businesses Score', 'Spend Growth Score', 'Labor Market Engagement Index Score', 'Commercial Diversity Score', 'Internet Access Score']","[-0.4931515461578965, -0.5970359235163778, -4.672997838184237, -0.7235364360176026, -7.212607373408973]",-2.7398658234570177,5
550682,Data2024.xlsx,nan,davidson county,tennessee,2024,44,34,53,46,26.0,66.0,32,-0.5,-49.8,21,48.8,-8.8,95,4.1,25.8,34,72.2,67.6,81,91.7,96.4,55,56.7,58.7,44,43.0,45.0,48,-5.8,-8.9,61,,,19,-8.5,-65.3,9,3.6,1.3,83,60,88,44,1.3,1.1,40,34.0,47.0,29,16.7,5.3,38,,,40,88.8,85.8,76,41.5,37.3,,27.8,,25,95,91.1,3,"['Spend Growth Score', 'Female Above Poverty Score', 'Residential Real Estate Value Score']","[-0.2861766029940918, -5.007254526298493, -2.8215035688970236]",-2.7049782327298697,3
570743,Data2024.xlsx,nan,davidson county,tennessee,2024,44,44,43,36,30.0,42.0,33,-0.5,-28.7,27,48.8,20.7,63,4.1,6.2,29,72.2,66,18,91.7,83.4,59,56.7,60.2,54,61.0,46.0,88,-5.8,96.2,74,,,22,-8.5,-40.2,2,3.6,0.7,50,60,60,87,1.3,3.1,42,42.0,42.0,24,16.7,9.3,59,,,30,88.8,82.1,67,41.5,38.8,52,27.8,28.7,17,95,88.9,2,"['New Businesses Score', 'Spend Growth Score', 'Commercial Diversity Score', 'Internet Access Score', 'Female Above Poverty Score', 'Residential Real Estate Value Score']","[-1.7269167405925692, -0.8601997077139094, -1.5164286985062063, -4.105028382632882, -7.0339126902911815, -0.8933040492469445]",-2.6892983781639486,6
545926,Data2024.xlsx,nan,davidson county,tennessee,2024,47,52,42,50,59.0,41.0,79,-0.5,16,39,48.8,49.7,41,4.1,3.1,17,72.2,61.3,60,91.7,93.3,46,56.7,55,54,59.0,49.0,41,-5.8,-8.4,89,,,47,-8.5,-5,49,3.6,3.5,47,60,57,52,1.3,1.3,36,38.0,35.0,24,16.7,4.9,51,,,37,88.8,84.8,76,41.5,37.3,1,27.8,3.9,26,95,91.3,0,"['Spend Growth Score', 'Labor Market Engagement Index Score', 'Female Above Poverty Score']","[-0.8229872140055522, -1.823252148926258, -5.352626539785415]",-2.6662886342390753,3
563667,Data2024.xlsx,nan,davidson county,tennessee,2024,44,51,38,40,56.0,24.0,76,-0.5,16.2,37,48.8,34.2,9,4.1,0.6,13,72.2,59.3,36,91.7,88.7,38,56.7,51.8,46,57.0,36.0,40,-5.8,-10.3,70,,,60,-8.5,2,19,3.6,1.9,12,60,15,76,1.3,2.2,48,40.0,55.0,30,16.7,7.8,51,,,35,88.8,84.1,72,41.5,38.1,78,27.8,43.8,36,95,93.2,0,"['Spend Growth Score', 'Labor Market Engagement Index Score', 'Commercial Diversity Score', 'Internet Access Score', 'Female Above Poverty Score']","[-0.7800152934156358, -4.792733693234623, -1.0321964459121227, -0.9569780702143907, -5.766302135344595]",-2.6656451276242734,5
584361,Data2024.xlsx,nan,davidson county,tennessee,2024,47,50,44,48,45.0,51.0,36,-0.5,-1.9,54,48.8,56.2,9,4.1,0.5,99,72.2,90.6,74,91.7,95.4,21,56.7,44,32,37.0,28.0,4,-5.8,-23.8,,,,70,-8.5,31.4,,,,33,60,41,24,1.3,0.7,62,69.0,54.0,69,16.7,25.9,,,,68,88.8,92.6,14,41.5,49.5,85,27.8,50,47,95,94.7,3,"['Small Business Loans Score', 'Labor Market Engagement Index Score']","[-0.7919528920762241, -4.44805222555995]",-2.620002558818087,2
545945,Data2024.xlsx,nan,davidson county,tennessee,2024,52,47,57,46,23.0,69.0,21,-0.5,-29.8,25,48.8,-12,71,4.1,8.1,41,72.2,69.8,72,91.7,95.1,93,56.7,78.7,70,61.0,79.0,89,-5.8,7.5,61,,,34,-8.5,-52,41,3.6,3.1,99,60,99,96,1.3,5.1,40,57.0,24.0,61,16.7,17.7,53,,,11,88.8,69.2,21,41.5,47.3,,27.8,,41,95,93.9,3,"['New Businesses Score', 'Spend Growth Score', 'Commercial Diversity Score', 'Female Above Poverty Score', 'Residential Real Estate Value Score']","[-2.130094762388617, -0.13407236884348095, -1.794917510151863, -6.521524906698614, -2.5090590294077995]",-2.617933715498075,5
547724,Data2024.xlsx,nan,davidson county,tennessee,2024,48,46,50,45,42.0,48.0,28,-0.5,-13.7,57,48.8,80.7,64,4.1,6.5,32,72.2,67.2,41,91.7,89.9,53,56.7,57.9,61,47.0,75.0,27,-5.8,-18.6,76,,,39,-8.5,-16.7,51,3.6,3.7,86,60,90,87,1.3,3.1,38,50.0,26.0,65,16.7,36.9,34,,,24,88.8,79.5,37,41.5,43.7,27,27.8,18.2,16,95,88.6,3,"['Spend Growth Score', 'Commercial Diversity Score', 'Internet Access Score', 'Female Above Poverty Score']","[-0.7745132810715586, -0.9277166091278195, -0.302475539855659, -8.43772092724219]",-2.6106065893243064,4
580504,Data2024.xlsx,nan,davidson county,tennessee,2024,54,58,50,62,49.0,74.0,26,-0.5,-6.9,72,48.8,219.2,65,4.1,6.6,89,72.2,83.2,49,91.7,91.4,92,56.7,77.6,56,62.0,50.0,78,-5.8,-1.4,62,,,47,-8.5,-15.7,17,3.6,1.8,54,60,63,80,1.3,2.4,45,64.0,26.0,71,16.7,47.1,57,,,26,88.8,80.6,32,41.5,44.7,,27.8,,20,95,89.9,0,"['New Businesses Score', 'Spend Growth Score', 'Commercial Diversity Score', 'Female Above Poverty Score']","[-1.7738021216541529, -0.38968271244317293, -0.9378284855559468, -7.325460283514112]",-2.6066934007918463,4
580639,Data2024.xlsx,nan,davidson county,tennessee,2024,58,63,54,74,76.0,71.0,70,-0.5,12.9,82,48.8,96.5,10,4.1,0.7,82,72.2,80.9,96,91.7,98.9,97,56.7,84.5,46,45.0,48.0,29,-5.8,-17.5,76,,,29,-8.5,-37.2,3,3.6,0.9,96,60,97,44,1.3,1.1,55,68.0,42.0,60,16.7,16.5,75,,,6,88.8,62.4,29,41.5,45.3,54,27.8,29.7,79,95,97.9,1,"['Spend Growth Score', 'Female Above Poverty Score']","[-0.830156396497041, -4.383034929940477]",-2.606595663218759,2
582587,Data2024.xlsx,nan,davidson county,tennessee,2024,52,50,55,50,42.0,58.0,27,-0.5,-11.8,57,48.8,81.8,79,4.1,10.8,9,72.2,57.3,56,91.7,92.6,86,56.7,73.1,67,59.0,75.0,69,-5.8,-5.1,51,,,57,-8.5,-15.2,49,3.6,3.6,79,60,85,98,1.3,5.7,40,48.0,32.0,29,16.7,7.2,67,,,39,88.8,85.7,48,41.5,41.8,34,27.8,21.4,7,95,84.3,3,"['New Businesses Score', 'Commercial Diversity Score', 'Female Above Poverty Score']","[-1.0383856756985188, -1.6679448511078954, -5.108027824107557]",-2.6047861169713236,3
561956,Data2024.xlsx,nan,davidson county,tennessee,2024,38,45,32,48,42.0,54.0,23,-0.5,-8.3,60,48.8,89,78,4.1,10.3,45,72.2,70.8,23,91.7,85.1,70,56.7,64.8,32,42.0,23.0,56,-5.8,-3.4,20,,,49,-8.5,-1.7,7,3.6,1.2,3,60,4,60,1.3,1.5,35,52.0,18.0,48,16.7,22.1,56,,,3,88.8,54.3,31,41.5,44.9,,27.8,,20,95,89.9,2,"['New Businesses Score', 'Labor Market Engagement Index Score', 'Commercial Diversity Score', 'Internet Access Score', 'Female Above Poverty Score']","[-0.05144209016114473, -2.6891626293212174, -0.9447923895157874, -4.551889896579087, -4.73718306818977]",-2.594894014753401,5
524599,Data2024.xlsx,nan,davidson county,tennessee,2024,45,49,41,54,68.0,40.0,72,-0.5,21.3,65,48.8,103.1,45,4.1,3.5,69,72.2,77.2,34,91.7,88.4,11,56.7,37.2,36,39.0,33.0,61,-5.8,0,18,,,38,-8.5,-12.8,21,3.6,2,18,60,24,60,1.3,1.5,45,40.0,50.0,37,16.7,14.8,43,,,27,88.8,80.9,72,41.5,38,,27.8,,52,95,95.3,0,"['New Businesses Score', 'Labor Market Engagement Index Score', 'Commercial Diversity Score', 'Internet Access Score', 'Female Above Poverty Score', 'Residential Real Estate Value Score']","[-0.3037810859084129, -4.925626118369401, -0.8865902466140687, -1.4716490907594562, -7.806355294026434, -0.13872926142066716]",-2.5887885161830737,6
561912,Data2024.xlsx,nan,davidson county,tennessee,2024,44,50,39,42,40.0,44.0,45,-0.5,-6.2,34,48.8,27.6,38,4.1,2.8,35,72.2,67.9,9,91.7,77.4,96,56.7,82.2,52,57.0,46.0,57,-5.8,-4.5,56,,,58,-8.5,4.7,19,3.6,1.9,40,60,49,80,1.3,2.4,40,54.0,27.0,37,16.7,16.4,72,,,3,88.8,53.3,52,41.5,41.2,47,27.8,26.7,7,95,84.3,0,"['New Businesses Score', 'Spend Growth Score', 'Labor Market Engagement Index Score', 'Commercial Diversity Score', 'Internet Access Score', 'Female Above Poverty Score']","[-0.01726787144318223, -0.05196010450366884, -3.255926928445697, -0.9353035828284919, -8.090948314163834, -3.052757664406672]",-2.567360744298591,6
554863,Data2024.xlsx,nan,davidson county,tennessee,2024,40,33,48,60,49.0,71.0,39,-0.5,-1.7,59,48.8,74.7,74,4.1,8.8,71,72.2,77.5,45,91.7,90.8,95,56.7,81,24,13.0,35.0,4,-5.8,-28,13,,,23,-8.5,-25.9,,,,46,60,55,24,1.3,0.7,38,38.0,37.0,38,16.7,12.8,37,,,66,88.8,92.2,43,41.5,42.7,15,27.8,13.2,23,95,90.6,2,['Labor Market Engagement Index Score'],[-2.560908883064985],-2.560908883064985,1
524234,Data2024.xlsx,nan,davidson county,tennessee,2024,55,59,51,64,70.0,59.0,65,-0.5,4,75,48.8,99.4,49,4.1,4,63,72.2,75.4,82,91.7,96.6,41,56.7,53.1,44,55.0,34.0,88,-5.8,72.1,50,,,27,-8.5,-19,1,3.6,0.6,76,60,82,24,1.3,0.7,57,53.0,61.0,66,16.7,21.7,40,,,74,88.8,93.8,83,41.5,35.9,25,27.8,17.4,63,95,96.4,1,['New Businesses Score'],[-2.5355382725875826],-2.5355382725875826,1
586060,Data2024.xlsx,nan,davidson county,tennessee,2024,52,54,50,54,64.0,44.0,57,-0.5,0.2,70,48.8,168.4,53,4.1,4.5,13,72.2,59.2,61,91.7,93.5,47,56.7,55.7,64,67.0,61.0,92,-5.8,17.1,55,,,54,-8.5,-10.5,21,3.6,2,66,60,74,95,1.3,4.4,37,30.0,44.0,24,16.7,2.4,35,,,30,88.8,82.2,53,41.5,41,62,27.8,33.3,29,95,92,1,"['New Businesses Score', 'Spend Growth Score', 'Commercial Diversity Score', 'Female Above Poverty Score']","[-2.439296201686375, -0.09918403528630733, -1.2847409274429082, -6.286809135396034]",-2.527507574952906,4
543545,Data2024.xlsx,nan,davidson county,tennessee,2024,52,49,56,42,20.0,63.0,20,-0.5,-50,,48.8,,77,4.1,10,15,72.2,60.5,62,91.7,93.6,98,56.7,86.7,70,62.0,77.0,91,-5.8,8.2,60,,,34,-8.5,-68.9,33,3.6,2.6,99,60,99,100,1.3,17.4,48,66.0,29.0,76,16.7,25.1,57,,,42,88.8,86.4,21,41.5,47.2,,27.8,,23,95,90.8,3,"['New Businesses Score', 'Spend Growth Score', 'Commercial Diversity Score', 'Female Above Poverty Score']","[-2.6995844474248587, -0.24365453796461226, -2.378405553344637, -4.469489433262497]",-2.447783492999151,4
526484,Data2024.xlsx,nan,davidson county,tennessee,2024,60,55,66,64,62.0,66.0,50,-0.5,-1,75,48.8,96.6,46,4.1,3.6,86,72.2,82,77,91.7,95.8,56,56.7,59,68,56.0,80.0,46,-5.8,-8,79,,,42,-8.5,-11.1,,,,94,60,96,66,1.3,1.8,50,46.0,53.0,32,16.7,6.1,59,,,37,88.8,84.7,74,41.5,37.7,52,27.8,28.5,50,95,95.1,1,"['Spend Growth Score', 'Commercial Diversity Score', 'Female Above Poverty Score']","[-0.930799791123718, -0.6803802058659494, -5.721374968085438]",-2.444184988358369,3
